,multimodal_emotion,text_script
48804,0,"아니 그러니까 상무님, 자료 읽어 보셨어요?"
38372,0,"에이, 그렇게 말을 하니까 놀랬잖아. 엄살 피우는 것도 아니고 뭐야."
38369,0,"무릎이요. 계단에서 미끄러져서, 무릎 연골이 박살이 났다고 말씀드렸잖아요."
38351,0,참네…! 기가 막힌다. 기가 막혀.
38349,0,까불지마! 내가 마음만 먹으면 지금이라도 들어가서 너 잡아 쳐 넣을 수 있어.
38348,0,너 진짜 상종 못 할 놈이구나?
59514,0,아저씨. 주차 관리를 이렇게 하시면 어떡해요.        저쪽 앞에 댄 차 때문에 우리 차가 빠질 수가 없잖아요.
38346,0,아직은요? 야 이 변태야. 너 내가 눈 감아줬더니 내가 우습냐?
59516,0,전화 해봤는데 안 받잖아요. 어떡하실 거에요?
38338,0,장난 그만 하시고요. 진지하게 들으세요.
59520,0,안 필요하면 지금 아저씨 붙들고 제가 이러고 있겠어요?
59522,0,"저기 차, 몇 동, 몇 호차인지 알아보시고 인터폰 해주세요."
38301,0,아니. 저 총각을 찍었다는게 아니라… 조금 찍혔을 수도 있다는 거야.
59524,0,빨리 해주세요 좀.
59543,0,"노인네가 정말 고집만 세지시네.  엄마, 따라-가시기라도 하겠다는 거에요, 뭐에요?"
38374,0,내가 지금 괜한 말을 했어?
59545,0, 말이라고 정말! 어리광 좀 그만 부리셔 제발!
59556,0,"또 그러신다. 내가 전에 뭐라고 했어요?  밥, 잘 안챙겨 드시면 딸내미 얼굴 못 보는 줄 알라고 그랬죠?"
38297,0, 아니 진짜 억울하다니까.
38292,0,불러 경찰.
38290,0,못주겠다면?
38289,0,이봐. 찔리니까 말 더듬네. 빨리 내놔. 경찰 부르기 전에.
38287,0,변태 잖아요. 아저씨. 아… 진짜. 조용히 처리하고 넘어 갑시다.
38286,0,아니라고요! 이거 사람을 뭘로 보고.
38285,0,지금 제 사진 찍으셨잖아요!
38282,0,아니라니깐요?
38272,0,왜 죽였어?
38270,0,이 자식이 이거. 내가 지금 너랑 장난하자고 여깄어!?
38266,0,알잖아. 너 CCTV도 다 확보 됐어.
38258,0,왜 오늘이야? 왜 하필 나한테 이러는데!?
38246,0,누구냐고!
59547,0,어휴. 내가 못살아 진짜.   다음주에도 밥 제대로 안 차려 드시면 딸내미 얼굴 못 보는 줄 아셔.
38377,0,"방금도 그러셨잖아요. 제가 다쳐서 아픈 건데, 그걸로 눈치 주셨잖아요."
38378,0,"내가 무슨 눈치를 줬다고 그래, 너?"
38379,0,그럼 제가 지금 없는 말을 지어냈어요?
6863,0,수학 진짜 하기 싫어.
6862,0,"물론 계산기가 빠르긴 하지만, 그래도 사람이 머릿속으로 지도를 그려야 계산기가 그 지도를 따라서 길을 찾아갈 수 있는거야."
38483,0,다음? 다음이 어딨어. 당장 내 집에서 나가.
6860,0,그래도 사람이 계산기만도 못하면 어떡해?
38481,0,내가 왜 돈 주고 사람 쓰는 거 같아?
38479,0,그래서 내 말은 무시하고 세탁기에 막 돌린 거야?
59433,0,이제 너도 다 컸으니 대학 등록금 갚도록 해라.
38477,0,"스카프 같은 거 세탁기에 돌리지 말라고, 내가 여러 번 말했잖아."
38475,0,"손빨래로 해야 되는 건, 신경 좀 써 달라고 했잖아."
38426,0,내가 너무했다고? 됐다. 말을 말자.
38424,0,야! 이게 진짜.. 너 정말 은혜도 모르고… 니가 어떻게 나한테 이래?
59442,0,아니면 어디에 투자하셨다가 좀 날리셨어요?
38422,0,내가 너한테 잡일을 떠넘겨? 얘가 정말 오냐오냐 했더니…
59448,0,아무리 사주고 싶은게 많으셔도 그렇지        이 천만원은 큰 돈이잖아요. 어떤 걸 사드리려고 하시는 거에요?
59450,0,가방이요?
59451,0,비싼 가방을 사줄거야. 명품으로다가.
59452,0,이 천만원짜리 명품 가방을 사드린다고요?         왜요? 그 분이 그 가방을 사달라고 하셨어요?
59473,0,사장님!
59471,0,요즘에는 소송가요 사장님.
59470,0,아니 내가 돈이 없다는데 어떡할거야?
59465,0,1억 3천이요.
38382,0,"그러게. 근데, 팀장님도 힘드시겠지?"
59463,0,계약 기간이 있잖아요. 그거 맞춰서 보증금 돌려 주셔야 해요.
38244,0,누구야! 바른 대로 대답해!
59462,0,"아니 사람 들어오면, 돌려 준다니까?"
59458,0,뭐라구요? 그래서 아빠는 더 비싼 가방을 사드리려고 하는거에요?
59457,0,김대흥이가 그 사람한테 칠백만원짜리 가방을 사줬어.
38401,0,노조가 있어야 이런 억울한 일 생길 때 부딪혀 보기라도 할 거 아니에요.
38408,0,"그 인간 성격 이상한 거 알면서, 지금 편 드는 거예요?"
38412,0,"네, 그랬더니 고객 전화를 끊으면 어떡하냐면서, 시말서를 쓰라고요. 나 참.. 누군 그러고 싶어서 그러나요?"
38421,0,언니가 없으면 뭐요?  지금도 온갖 잡일을 다 나한테 떠넘기잖아요.
59460,0,아빠. 그건 아닌 것 같아요.        그 가방 사드린다고 그 분이 아빠를 좋아하게 되는 건 아니잖아요.
38485,0,그만 됐으니까 나가라고!
59589,0,그래도 뭐시 중요한지는 알고 살아야지. 안사람이 하는 일이라는 게 다른 거 없다.	 남편이 올바른 생각을 하도록 옆에서 잘 조언해주고 해야지.
38230,0,무슨 그런 저질 농담을 하세요? 지금 저 놀리는 거에요?!
15297,0,메일이랑 문자로 말씀드렸던 성적 이의 신청 때문에 왔는데요.
38125,0,"그걸 그렇게 잘 아는 놈이면! 내가 목구녕으로 쑤셔 넣는게 아닌 이상, 알아서 조절을 해야지!"
38123,0,너 이거 순전히 쑈하는 거 아니야? 나 엿먹이려고?
38121,0,닥치지 못해?
38119,0,이 짐승만도 못한 자식.
