text_script	multimodal_emotion
그럼 혹시 오늘 호박죽 얘기하려고?	6
아니, 내가 뭐라고 했어? 그냥 난.. 헤어졌다고 울고 불고 하는 오빠 모습이 여전히 내 눈앞에 선해서 그렇지.	0
응 그 희철이. 너가 아는 사람이니까 내가 이야기 했지.	7
성실하고 논문도 훌륭하게 잘 마쳤고. 아마 잘 봐 줄 거야.	7
 그래? 깍두기 담아놨는데.	7
누구 편은 임마. 넌 왜 그렇게 날로 먹을려고 하냐?	6
모르지.	2
네… 먹었어요…	1
뭔데 그래 얼른 말해봐.	0
유민이네 집이니까 조금 천천히 가도 되는데.. 바로 옆 동이잖아요.	1
뭐야? 너 고양이한테 생선 맡기다 몰라?	3
그러믄, 당연하지. 우리 아들이 가서 전교 회장 된다고 그러는데 싫다는 부모도 있냐?	7
그래.	4
아 정말요? 저도 반갑네요.  물건 보실래요?	5
네. 안 그래도 방금 갖다놓고 왔는데.	7
귀신은 무슨... 귀신이 세상에 어딨니?	3
샴푸하는 거? 뭐가 달라요? 그냥 벅벅 감으면 되는 거 아닌가?	5
그럼 어떡하지....	2
영수씨..!  네 그냥 2부만 올려 놓으세요	0
지금 내 옷에 앉은 모기 쳐 죽인거야?	6
나한테 죄송 할 일은 아니고.	3
응. 나 진짜 다 해줄 수 있어.	1
 네. 그럼 제가 좀 봐드리도록 하겠습니다.	7
아이, 무슨 소리야. 뭐가 소중하지가 않아. 소중한데.	6
니가 말을 그렇게 하잖아.	3
아니고… 안내음에 닭 울음 소리가…	6
만 이천원.	7
그러게. 형님 뵈러 다녀온거지? 차로 여섯 시간은 걸렸겠다.	1
네. 저번엔 있었는데, 오늘은 없어서요. 어디로 갔어요?	2
가 봐야 알 것 같거든. 수술을 하시는데… 위독하시다고 그러네.	4
아저씨… 죄송합니다. 제가 큰 죄를 지었습니다.	4
"아빠 유전자가 너무 강한 걸 어떡해..	 괜찮아. 나도 내 딸한테 미안할 지 모르니까."	5
내가 무슨 말을 어떻게 했다고 얘가 또 이렇게 난리야? 어디 무서워서 너한테 무슨 말을 하겠어?	3
형은… 지금 내가 사슴벌레를 새 먹이로 준 게 잘못됐다는 거야?	1
헐.  알았어. 대신 손빨래 해서 돌려줘야돼.	5
