	Unnamed: 0	multimodal_emotion	text_script
19200	71369	7	천천히 줘도 돼.  근데, 너는 왜 전학 왔어?
19201	61358	5	왜 갑자기?
19202	71589	4	걔는 동아리 같은 거 안 한대. 혼자 노는게 좋대.
19203	37960	0	너 같으면 분통 안 터지겠냐?
19204	74206	2	군대가기 전에 카페에서 1년정도 일한 경험 있습니다!
19205	14824	3	됐어, 신경 꺼. 오빠한테 기대한 내가 잘못이지. 게임도 못하는데 티켓팅이라고 잘 하겠냐?
19206	37876	0	뭘 오해하시게 끔이야. 그냥 실언이지. 영업은 말빨인데, 이래서 뭘 팔아먹겠어?
19207	73217	7	" 너 일할 때 진짜 섹시한 거 알아? 	너도 알지? 모를 리 없지. 이렇게 섹시한데."
19208	44415	4	지금은 어떤 쪽으로 마음이 기우는데?
19209	50884	0	하나라도 엄마가 맘에 들게 좀 해봐. 엄마가 잔소리를 하나.               빨래좀 아무데나 던져 놓지 말고 양말 좀 제발 뒤집어 놓지 말고!
19210	37609	3	당연하죠…하… 진짜 제가 얼마 들인줄 아세요..? 이거 어머니한테 청구해야될거 같은데..
19211	15018	3	저한테 괜히 희망 주지 마세요. 저는 선배 어려워요. 그 때도 그렇고 지금도 마찬가지에요.
19212	16900	1	날짜는 언제야?
19213	78792	6	안 심심한데?
19214	36635	1	할아버지는?
19215	11504	1	네, 아이들이 꽤 많이 도와주기로 약속했어요.
19216	75607	3	그래요. 삼촌 맨날 혼자 궁상 떠는거 꼴보기 싫다고.         은경쌤 소개해주면 어떻겠냐고. 엄마가 그래서 제가 물어본 거 아니에요.
19217	8603	6	응 뭐 늘 똑같지 뭐
19218	37418	1	지금 우리 이렇게 대화하고 있는거… 상철 씨도 아세요..?
19219	73099	7	나는….. 헨리나 마르셍.
19220	78169	6	나 저녁 먹기 싫단 말이야.
19221	54241	6	발라.
19222	15764	0	아니, 내가 지난 번에 자꾸 돈이 빈다고 했잖아.
19223	74045	2	"니가 왜 돈 쓸 곳이 없어? 	연애도 해야되고, 어? 친구들이랑 술도 마셔야 되고."
19224	35803	0	뭐..? 너 지금 그게 할 소리야? 지금 친구는 병원에서 팔을 꿰매고 있다는데… 너는 미안 하지도 않아?!
19225	18661	1	응. 이모 잠꼬대도 해.
19226	63949	5	그럼 주변에 있는 어른들한테 여쭤보면 되죠. 잘 할 수 있을거예요.
19227	37972	1	선한 자는 선할 것이요, 악한 자는 악할 것이니.
19228	73348	7	그래. 내가 초코우유도 사줄게.
19229	33562	4	없지. 남들 해주는 거 다 해줬는데. 왜 너는 사랑한다는 말을 안해.
19230	64483	0	내가 은주씨, 면접볼 때부터, 뭔가 불안했다고.        여행 좋아하고, 술 좋아한다고 말했을 때부터,        아, 얘는 나중에 뒤통수 한 번, 크게 치겠구나 했는데....        역시 예감이 맞았다니까?
19231	32726	2	아…
19232	39962	0	 야! 그만하라고!
19233	41134	4	미안하다. 아들아.
19234	17356	4	나는… 하… 그러게 내가 누굴 닮았지? 나는 공부도 싫고 책도 싫어.
19235	33823	4	그래서 요즘은 아예 선금을 받고 해.
19236	23354	1	음… 할머니가 요 앞에 어떤 할머니를 아는데. 그 할머니 손녀딸이 정민지래. 너랑 같은 학교 다니길래 아는 지 궁금해서.
19237	14499	3	진짜 짜증 나겠다.
19238	60269	0	너 배 아픈데 선생님이 일어나라고 했다고?
19239	72236	2	이거요..
19240	24294	1	할머니, 그러지 말고 아빠한테 바꿔 달라고 해.
19241	15452	4	그럼, 숙모랑 이혼한 것도 그것 때문인거야?
19242	65973	0	아침부터 우리가 개를 끓이고 있거든.
19243	59374	2	숨기려고 한게 아니라. 아빠가 이렇게 화 내실거 아니까.        조심스럽게 말씀 드린거죠.
19244	42877	5	뭐라구요??
19245	45908	5	너가 지환이 동생이야?
19246	42493	4	선배가 받은 대출 저도 받을 수 있죠?
19247	74170	7	장어 좋지. 어디? 서변호수 쪽에 있는 거?
19248	44256	1	저희 집 근처에, 마카롱 맛집인데. SNS에서 엄청 유명하거든요. 
19249	9157	6	야. 너 진짜 너무 한다.
19250	60458	3	이를 거지?
19251	2170	7	 무능한 삼촌은 화장실이나 가 봐야겠다.
19252	64144	0	 고주망태구만, 고주망태야.
19253	44709	2	아 그럼 너무 무서울 거 같은데.  꿈에서 그 사람 머리에 깔려서 기절했는데, 아직도 그 느낌이 생생해.  너무 무거워서 죽을 힘을 다해서 미는 데도 꿈쩍도 안하는 거야.  생전 처음 느껴보는 공포였다고.
19254	79105	6	"그죠. 감독님 어떡하실 거에요.	 저는 다~~ 기억할텐데. 	 원래 안 취한 사람은, 완전 클린 모드로,  처음부터 끝까지 다- 기억하는 거 아시죠."
19255	66839	3	"너, 지나간 것도 잘만 찾아서 보더만.	 이거 나중에 보고 ‘백년의 약속들’ 좀 틀어봐. 	 그건 지금 지나면 못 봐."
19256	29929	3	주제를 알아라. 주제를. 으휴!
19257	15949	1	요 주변에 물가라도 있나? 멀끔하던데?
19258	72396	7	"응!  ‘스타 아역배우, 몰라보게 성숙해진 모습으로 돌아오다’	 기사 제목들이 눈 앞에 보이지 않아? 	 ‘귀여운 얼굴 속, 숨어있던 반전 성숙미’	 ‘외모도 실력도 무르익은 어른미 뿜뿜’, ‘박재민, 10년을 거슬러 돌아오다’  딱!!! 어?!"
19259	1630	7	에헤이, 무슨 소리야. 그냥 가만히 기다려.
19260	59822	0	당연하지. 그 돈 빼먹으려면 20년은 더 해야 된다. 20년은.
19261	30908	7	아니 아직 안 했어. 뭐 시켜먹을까?
19262	41738	4	알아 봤는데 다 너무 비싸더라고… 아, 어쩔 수 없지!
19263	47019	5	발레학원? 갑자기 왜?
19264	78362	6	"할머니가 어떻게 속을 썩여요? 		우리 엄마는 맨날 내가 콜라 많이 마신다고, 속이 썩는다고 그러던데."
19265	40309	1	막상 책을 내니까 이게 또 돈이 되더라고요.
19266	76431	6	"그러면 니가 빠릇빠릇하게 숙제를 하지 그랬어. 	왜 안 해와서 지금 이렇게 고생을 해?"
19267	38724	2	너무 비싸다 이거야?
19268	26344	2	네. 근데 엄청 달아서, 할아버지는 마시면 안돼요.
19269	22888	2	요즘은 그것도 업체가 많아져서… 그리고 그 업체들 뒤에는 깡패들도 있고 그렇대.
19270	1174	6	말을 말자.
19271	45614	5	 남자친구? 어떤 사람인데?
19272	58995	4	그냥.
19273	32843	2	아… 같은과 선배가… 같은 일이 있었는데… 행정실에 부탁해서 납부했다고 들었거든요… 저… 좀 어떻게 안 될까요?
19274	53111	5	그래? 뭐 먹어.
19275	39275	5	공짜? 진짜로 공짜에요?
19276	52099	5	이민주가 누구야.
19277	59952	0	"그렇게 뒤 쫓아다니면서 하나하나 챙겨주면,	 오히려 자립심이 더 떨어지는 거야. 냅둬. 지가 지 살 길 찾게."
19278	10319	7	아 이거 누르면 되겠다!
19279	74928	6	아니 그럼 뭘 먹어야 해? 밥때마다 고기 먹는게 낙인데.
19280	8507	6	나 무용과 나왔잖아 당연히 잘 추지
19281	52920	6	 이게 축하를 해줘야 하는 건지,  뜯어 말려야 하는 건지 잘 모르겠다.   어우 갑자기 머리 아파. 두통약 있어?
19282	78877	3	"쌩판 남보다는 그래도 한동안 한 이불 덮고 잔 	나한테 빌리는 게 낫지 않겠어?"
19283	24792	1	에휴. 아빠가 미안해. 그냥 얘기 해봐.
19284	52239	5	네? 과장님이랑 부장님 왜요?
19285	58877	5	부장님이 어떻게 아셨어요?
19286	47514	0	97년생 소띠다 왜.
19287	13058	1	당연히 오빠 통장으로 했지.
19288	51717	5	응? 냄새가 나? 오늘 아침에 샤워도 하고 머리도 감았는데?
19289	12579	1	나 한 50권?
19290	44691	3	너 또 걔한테 연락했어?? 걔가 건 게 아니고 니가 건 거야?
19291	34775	0	아이씨… 죽을래?
19292	44869	1	그건 그것대로 고민이겠다 진짜.
19293	73634	7	나도 아직까지는 너랑 노는 게 제일 재밌어.
19294	67339	4	소영아빠…. 아무래도 바람난 것 같애.
19295	35649	4	그래도, 저렇게 여러 사람을 만나고 다양한 일들을 겪고… 저런 일들이라도 부럽다.
19296	63977	5	아….아 맞다! 돈스테이크!
19297	9853	5	야! 너 저번에 서류 합격해서 면접보러 간다더니 그거 붙은거야?
19298	9225	5	계속 흔들리 잖아요.
19299	61760	0	아니 그럼 헤어지실 거예요?
