multimodal_emotion	text_script
7	천천히 줘도 돼.  근데, 너는 왜 전학 왔어?
5	왜 갑자기?
4	걔는 동아리 같은 거 안 한대. 혼자 노는게 좋대.
0	너 같으면 분통 안 터지겠냐?
2	군대가기 전에 카페에서 1년정도 일한 경험 있습니다!
3	됐어, 신경 꺼. 오빠한테 기대한 내가 잘못이지. 게임도 못하는데 티켓팅이라고 잘 하겠냐?
0	뭘 오해하시게 끔이야. 그냥 실언이지. 영업은 말빨인데, 이래서 뭘 팔아먹겠어?
7	" 너 일할 때 진짜 섹시한 거 알아? 	너도 알지? 모를 리 없지. 이렇게 섹시한데."
4	지금은 어떤 쪽으로 마음이 기우는데?
0	하나라도 엄마가 맘에 들게 좀 해봐. 엄마가 잔소리를 하나.               빨래좀 아무데나 던져 놓지 말고 양말 좀 제발 뒤집어 놓지 말고!
3	당연하죠…하… 진짜 제가 얼마 들인줄 아세요..? 이거 어머니한테 청구해야될거 같은데..
3	저한테 괜히 희망 주지 마세요. 저는 선배 어려워요. 그 때도 그렇고 지금도 마찬가지에요.
1	날짜는 언제야?
6	안 심심한데?
1	할아버지는?
1	네, 아이들이 꽤 많이 도와주기로 약속했어요.
3	그래요. 삼촌 맨날 혼자 궁상 떠는거 꼴보기 싫다고.         은경쌤 소개해주면 어떻겠냐고. 엄마가 그래서 제가 물어본 거 아니에요.
6	응 뭐 늘 똑같지 뭐
1	지금 우리 이렇게 대화하고 있는거… 상철 씨도 아세요..?
7	나는….. 헨리나 마르셍.
6	나 저녁 먹기 싫단 말이야.
6	발라.
0	아니, 내가 지난 번에 자꾸 돈이 빈다고 했잖아.
2	"니가 왜 돈 쓸 곳이 없어? 	연애도 해야되고, 어? 친구들이랑 술도 마셔야 되고."
0	뭐..? 너 지금 그게 할 소리야? 지금 친구는 병원에서 팔을 꿰매고 있다는데… 너는 미안 하지도 않아?!
1	응. 이모 잠꼬대도 해.
5	그럼 주변에 있는 어른들한테 여쭤보면 되죠. 잘 할 수 있을거예요.
1	선한 자는 선할 것이요, 악한 자는 악할 것이니.
7	그래. 내가 초코우유도 사줄게.
4	없지. 남들 해주는 거 다 해줬는데. 왜 너는 사랑한다는 말을 안해.
0	내가 은주씨, 면접볼 때부터, 뭔가 불안했다고.        여행 좋아하고, 술 좋아한다고 말했을 때부터,        아, 얘는 나중에 뒤통수 한 번, 크게 치겠구나 했는데....        역시 예감이 맞았다니까?
2	아…
0	 야! 그만하라고!
4	미안하다. 아들아.
4	나는… 하… 그러게 내가 누굴 닮았지? 나는 공부도 싫고 책도 싫어.
4	그래서 요즘은 아예 선금을 받고 해.
1	음… 할머니가 요 앞에 어떤 할머니를 아는데. 그 할머니 손녀딸이 정민지래. 너랑 같은 학교 다니길래 아는 지 궁금해서.
3	진짜 짜증 나겠다.
0	너 배 아픈데 선생님이 일어나라고 했다고?
2	이거요..
1	할머니, 그러지 말고 아빠한테 바꿔 달라고 해.
4	그럼, 숙모랑 이혼한 것도 그것 때문인거야?
0	아침부터 우리가 개를 끓이고 있거든.
2	숨기려고 한게 아니라. 아빠가 이렇게 화 내실거 아니까.        조심스럽게 말씀 드린거죠.
5	뭐라구요??
5	너가 지환이 동생이야?
4	선배가 받은 대출 저도 받을 수 있죠?
7	장어 좋지. 어디? 서변호수 쪽에 있는 거?
1	저희 집 근처에, 마카롱 맛집인데. SNS에서 엄청 유명하거든요. 
6	야. 너 진짜 너무 한다.
3	이를 거지?
7	 무능한 삼촌은 화장실이나 가 봐야겠다.
0	 고주망태구만, 고주망태야.
2	아 그럼 너무 무서울 거 같은데.  꿈에서 그 사람 머리에 깔려서 기절했는데, 아직도 그 느낌이 생생해.  너무 무거워서 죽을 힘을 다해서 미는 데도 꿈쩍도 안하는 거야.  생전 처음 느껴보는 공포였다고.
6	"그죠. 감독님 어떡하실 거에요.	 저는 다~~ 기억할텐데. 	 원래 안 취한 사람은, 완전 클린 모드로,  처음부터 끝까지 다- 기억하는 거 아시죠."
3	"너, 지나간 것도 잘만 찾아서 보더만.	 이거 나중에 보고 ‘백년의 약속들’ 좀 틀어봐. 	 그건 지금 지나면 못 봐."
3	주제를 알아라. 주제를. 으휴!
1	요 주변에 물가라도 있나? 멀끔하던데?
7	"응!  ‘스타 아역배우, 몰라보게 성숙해진 모습으로 돌아오다’	 기사 제목들이 눈 앞에 보이지 않아? 	 ‘귀여운 얼굴 속, 숨어있던 반전 성숙미’	 ‘외모도 실력도 무르익은 어른미 뿜뿜’, ‘박재민, 10년을 거슬러 돌아오다’  딱!!! 어?!"
7	에헤이, 무슨 소리야. 그냥 가만히 기다려.
0	당연하지. 그 돈 빼먹으려면 20년은 더 해야 된다. 20년은.
7	아니 아직 안 했어. 뭐 시켜먹을까?
4	알아 봤는데 다 너무 비싸더라고… 아, 어쩔 수 없지!
