	Unnamed: 0	multimodal_emotion	text_script
21600	53108	6	엄마 아빠가 나 키워주신 거는 고마운데, 같이 하루 이상 있는거는 이제 너무 힘들어. 특히 여행지에서는 같이 안 있고 싶어.
21601	74518	7	응. 나 친구들한테도 완전 자랑했잖아.        할머니랑 번지점프하러 간다고.
21602	18912	7	근데 원래 처음 운전 배울 때는 중고차 사는게 좋을거야.
21603	59755	3	이 자식 고생길이 열렸구만.
21604	18668	1	음… 그렇겠다... 좀 섬뜩하긴 할거 같아. 내가 꿈을 좀 길게 꾸나? 많이 무서워?
21605	9030	6	왜요? 부족하면 보태 주시게요?
21606	26550	2	하... 진짜… 큰일 났어요… 진짜… 어떡해요…?
21607	34697	0	이 나쁜 놈!
21608	49447	5	왜?
21609	56597	6	나 들어오기 바로 전이네.
21610	62569	0	"그럼 큰 아버지가 그리로 가시던가요.	 습해서 발도 푹푹 빠지는 그런 데를. 아휴 참내."
21611	29989	4	아유… 죄송합니다. 어떤 업무 도와드릴까요?
21612	1979	7	신선한 원두 쓰고, 맛있게 하려고 커피 공부도 많이 하구요.
21613	42026	2	아..아유, 저희 사정 잘 아시면서… 좀 봐주세요..
21614	47757	3	너도 대학만 가봐라. 교회 가는지.
21615	60941	0	구렛나루를 이렇게 다 자르시면 어떡해요.
21616	34222	0	이거 봐. 너도 불안하지? 그니까 안돼!
21617	38368	1	얼마 전에 다리 수술 했다고 하지 않았어? 무릎이었나? 발목이었나?
21618	50653	0	너 다다음주에 모의고사 아니니? 시험 끝나고 가지?
21619	36105	0	철수야. 사범님이 뭐라고 했어? 선수라는 마음으로 배워야 된다고 했지? 그래서 그런 마음으로 다같이 전지 훈련을 가는거야.
21620	21268	1	그거야 맨날 보니까 그렇지.
21621	68878	4	아휴. 예린이 어떡해? 충격이 컸겠다.
21622	60557	4	오케이. 많이! 이거 근데 내 실력으로 되려나?
21623	33065	1	아 그래. 그래, 뭐 틀어봐.
21624	49393	7	60을 넘긴 나이로 연기에 처음 도전하셨다는 이야기를 듣고,  저도 굉장히 놀랐는데요. 어떻게 이런 용기를 내셨는 지 궁금합니다.
21625	41381	4	진짜 아니에요. 저 억울해요.
21626	44588	4	어... 지금 있는 물건도 빼야될 판이야. 침대가 옷장 됨.
21627	56044	6	조금만 더 미루면 안되나? 오늘 컨퍼런스가 있어서, 급하게 준비해야 되는데.
21628	22906	1	지난번 검진 때 나온 거는 뭐 고혈압이랑 간수치 빼고는 정상이었는데.
21629	97	3	그래… 알았다 알았어. 너는 취직 걱정 없다 이거지?
21630	64878	4	인상도 엄청 좋으셨잖아요. 그런 분이 이렇게 가시다니. 기분이 이상해요.
21631	11662	5	나는 시간이 이렇게 흘렀는데도… 자꾸 너 어릴 때 모습이 보인다.
21632	39249	5	정말요?
21633	75995	6	"지금부터 조용히 하면..?	 그럼 언제 할 수 있어?"
21634	61303	4	나는 임신 하고 싶은데.
21635	5690	4	조금만 참아봐. 아빠 금방 온댔어.
