multimodal_emotion	text_script
6	엄마 아빠가 나 키워주신 거는 고마운데, 같이 하루 이상 있는거는 이제 너무 힘들어. 특히 여행지에서는 같이 안 있고 싶어.
7	응. 나 친구들한테도 완전 자랑했잖아.        할머니랑 번지점프하러 간다고.
7	근데 원래 처음 운전 배울 때는 중고차 사는게 좋을거야.
3	이 자식 고생길이 열렸구만.
1	음… 그렇겠다... 좀 섬뜩하긴 할거 같아. 내가 꿈을 좀 길게 꾸나? 많이 무서워?
6	왜요? 부족하면 보태 주시게요?
2	하... 진짜… 큰일 났어요… 진짜… 어떡해요…?
0	이 나쁜 놈!
5	왜?
6	나 들어오기 바로 전이네.
0	"그럼 큰 아버지가 그리로 가시던가요.	 습해서 발도 푹푹 빠지는 그런 데를. 아휴 참내."
4	아유… 죄송합니다. 어떤 업무 도와드릴까요?
7	신선한 원두 쓰고, 맛있게 하려고 커피 공부도 많이 하구요.
2	아..아유, 저희 사정 잘 아시면서… 좀 봐주세요..
3	너도 대학만 가봐라. 교회 가는지.
0	구렛나루를 이렇게 다 자르시면 어떡해요.
0	이거 봐. 너도 불안하지? 그니까 안돼!
1	얼마 전에 다리 수술 했다고 하지 않았어? 무릎이었나? 발목이었나?
0	너 다다음주에 모의고사 아니니? 시험 끝나고 가지?
0	철수야. 사범님이 뭐라고 했어? 선수라는 마음으로 배워야 된다고 했지? 그래서 그런 마음으로 다같이 전지 훈련을 가는거야.
1	그거야 맨날 보니까 그렇지.
4	아휴. 예린이 어떡해? 충격이 컸겠다.
4	오케이. 많이! 이거 근데 내 실력으로 되려나?
1	아 그래. 그래, 뭐 틀어봐.
7	60을 넘긴 나이로 연기에 처음 도전하셨다는 이야기를 듣고,  저도 굉장히 놀랐는데요. 어떻게 이런 용기를 내셨는 지 궁금합니다.
4	진짜 아니에요. 저 억울해요.
4	어... 지금 있는 물건도 빼야될 판이야. 침대가 옷장 됨.
6	조금만 더 미루면 안되나? 오늘 컨퍼런스가 있어서, 급하게 준비해야 되는데.
1	지난번 검진 때 나온 거는 뭐 고혈압이랑 간수치 빼고는 정상이었는데.
3	그래… 알았다 알았어. 너는 취직 걱정 없다 이거지?
4	인상도 엄청 좋으셨잖아요. 그런 분이 이렇게 가시다니. 기분이 이상해요.
5	나는 시간이 이렇게 흘렀는데도… 자꾸 너 어릴 때 모습이 보인다.
5	정말요?
6	"지금부터 조용히 하면..?	 그럼 언제 할 수 있어?"
4	나는 임신 하고 싶은데.
4	조금만 참아봐. 아빠 금방 온댔어.
6	너가 쓴 면봉 제대로 안 버리는 거 사실이잖아.
6	팀장님 진짜 저희 맨날 이렇게 당하고만 있어야 되요?
6	매번 그럴 수가 없잖아. 피곤하고.
6	"그 정도는 아니고, 	그냥 분위기가 그랬다니까?"
6	어유. 너네 엄마 피부나 걱정 하라 그래라.
3	어머, 넌 비위도 좋다.
3	글쎄다. 그게 뭐 마음처럼 되는 일이니?
5	야, 너 아직도 그 민희인가 걔 좋아하냐?
5	네...? 제가 왜요?
5	돋보기 같은 건 있으시죠? 검수 파트다 보니까 눈이 많이 안 좋으시면 조금 어려울 수 있는데….
3	"설마. 니가 아직 나를 잘 모르는구나? 	취하지 않을거면 마시지 말아라."
4	고마워 언니. 오랜만에 불러내서는 대뜸 이런 얘기해서 미안해.
1	어때.
1	응. 부탁해. 그리고 어제 배터리 하청업체 연락해서 확인 했지?
1	다음 검사 때 까지는 아마 계속 해야 한다나 봐.
2	그래. 나 식물 키우기 잼병인데 괜찮겠지?
2	"어어. 언니 그건 좀 위험하지 않아? 비밀번호를 바꿔버려.	 언니 없을 때 청소해주러 오시면 어떡해."
4	제 때 해주지 못해서 미안해.
4	꿈 깨래.
6	다른 일을 구하면 되잖아.
3	아! 유치해! 원래, 남자는 여자주고, 여자는 남자 주는 거야. 그런 것도 몰라? 카네이션 받고 싶으면 누나한테 말해!
5	지은아, 너 왜 그래? 아까부터 자꾸 이러네. 혹시 꽃가루 알레르기 같은 건가?
7	그러게. 뜨끈뜨끈하니 몸 녹이기도 딱 좋네. 아휴. 삭신이야.
3	어이구. 민정이가 없으니까 집 꼴이 이게 뭐냐.
7	김치.
2	목요일이면 분리수거 배출하는 날 아니야?
7	요즘 천만 관객 돌파한 그 영화 있잖아.  [할라딩].
0	 할머니 진짜 미워. 담부터 우리집 오지 마요!
7	그럼. 당연하지.
7	그래. 할머니 따라오렴.
6	점점 더워져요.
2	세빈이 졸업 언제 할 것 같아?
3	그냥 걔 혼자서 싫어서 그러는거니?
0	너 내가 그러게 병원 가라고 했지!
3	근데… 너 샤워는 잘 하지?
4	한숨 쉬지 말고 나한테 얘기해봐… 도대체 어떻게 된거야?
1	누구?
5	나야 모르지 그런건. 당에서 알아서 하는거지. 왜 또 기사거리 뽑아먹을려고 찔러봐?
3	왜요? 나 또 뭐 했을 거 같아요?
0	어떻게 이걸 처음 봐요 제가 지금 받자마자 알겠는데..
4	그렇게 될 것 같아.
3	모의 시험 만큼만 했으면 이미 합격이지. 왜 항상 본 시험에는 모의 시험만큼 못 볼까.
4	네, 팀장님. 그러게요. 저도 정말 섭섭해요. 그동안 너무 잘해주셨는데...
2	아 그래도 가격이 조금 부담이 되어서요. 크루즈 말고 다른 효도관광은 없나요?
3	일부러 그런 게 아니야? 너 정말 오늘 나한테 먼지나게 맞아 볼래?
2	아니…
6	 교조적이었다고?
1	내 나이가 몇인데! 그래도 아직까지 내가 동년배들 중에서는 눈이 밝은 편이라니까.
5	진짜요? 그런가...?
3	그래 너 마셔. 이상한 놈 보겠네.
0	예끼 이놈아.
7	응. 고소하고 맛있잖아.
5	아니? 목욕탕에 사람 그렇게 많을까?
6	너는 얼마 넣었는데?
2	응… 그럼 할머니가 얘기해줄래? 나 오랫동안 고민했단 말이야…
0	언니가 왜 희순이를 만나!
6	너 그 펜 어디서 났어?
3	하... 대박이다 진짜
4	아니 얘가…
7	제가 애들한테 잘 가르쳐줄게요. 
0	지금 행동을 하는거 보면… 모르시는거 같은데요?
3	너, 요강이 뭔지도 몰라?
6	둘이서 막걸리를 한 두 병정도 마셨더니…        밤 늦게 뭘 먹으면 요즘엔 그렇게 소화가 잘 안돼.
5	그래? 엄마 미역국 그렇게 안 좋아하는데?           생일 때 아니면 끓이지도 않아.
2	괜찮아.
5	아 정말? 그랬었어? 나는 몰랐네.
5	수석졸업? 나 그건 몰랐네. 진짜 대단하구나. 공부 엄청 잘했네.
2	그럼 다행인데...
1	그렇지? 아무래도 오늘은 날씨가 너무 더워서 안 되겠다. 요 앞이라도 잠깐 나갔다 와야겠어.
2	네... 그래도 그게 여럿 쌓이다보면 꽤 부담이 되는가봐요.
2	여기. 봐봐. 이거 눌러도 안 돼. 
7	그 앉아 있어봐. 내가 뭐라도 내와야지.
6	나만 그런건 아니야. 정자랑 미옥이도 그렇게 생각했어.
4	 김서방이랑 분위기가 안 좋냐?
1	응.
1	 아... 그렇구나.
5	아이돌?
0	 너 지금 하루 종일 게임만 하고 있는거 알아?  잠깐 멈추고 이것 좀 봐주면 되잖아. 엄마 지금 이거 답장 해줘야 되서 급해.
2	"그래? 그건 다행이네...	 야...근데, 여긴 뭐 이렇게 기운이 쎄-하냐?"
0	이게 그거 랑 다를 게 뭐 있어?
4	걔가요... 어제 죽었대요.
3	으아 징그러워. 무슨 여자친구가 있어.          그럼 막 뽀뽀도 하고 그래?
6	엄마 배고파.
3	야. 너 수북한 다리털이 저 구멍으로 삐져나온다고 생각해봐.
0	맨날 아무것도 안 가르쳐주잖아.
0	 한번 살 때 세 개씩 샀겠지.         아무튼 그래서 지우가 이상하니까 이거 다 어디서 산거냐고 물었는데        현진이 딴에는 깜짝 고백한다고 경수랑 사귀는 걸 밝혀버린 거지.
5	너희 부모님 엄청 엄격하셨는데 너 디자인과 갔을 때 깜짝 놀라셨겠다. 
6	"아니, 지난 번 아가씨는 	집주인 아줌마가 너무 간섭을 많이해서 	좀 그랬다고 그러더라고."
3	그러니까요. 아니 교장이면 교장 답게 그냥 권위 있게 딱        교장실에 앉아만 있어도 되는 거를. 뭘 또 해보겠다고 설치니까.
3	엄마 래퍼로 뜨면 한 방이야. 등록금 그 정도는 한 달이면 갚을 수 있어. 조금만 기다려봐.
5	뭐 때문에요?
1	옆집 아저씨도 엄청 투덜대더라고. 당최 뭘 물어볼 수가 없다고.. 그래서 주민센터까지 가서 확인하고 왔다고 그러더라.
6	왜 자꾸 상황이 바뀌는거야?
4	네. 검은점요.
7	네  죄송해요. 생각해보니까 오전에 커피를 한 잔 마셨어서 많이 마시면 안될 것 같아요.
7	 김 과장님, 저 드디어 애 아빠 됐습니다!
7	원래는 [아이 에이트 어 치킨 예스터데이.]가 맞는건데.
6	응. 화장실 갔다와서, 갈비 또 푸러 가려고!
3	아~ 나는 되고 너는 안 된다?
6	너 요기서 안 먹어봤니. 초고추장이랑 해서 싸먹을 수 있게 주던데?
4	아빠, 몸이 좀 안 좋아서 병가냈어.
3	자린고비. 치사빤스.
5	오. 언제부터?
1	깊은 바다일수록 높은 파도가 인다는 거지.
3	니가 말을 그렇게 하잖아.
1	너무 매너 없는 행동 아니야?
1	할머니. 할머니는 꿈이 뭐였어?
1	이번에 나 첫월급 받았잖아. 용돈.
1	그럼~ 아빠가 이 나이까지 술을 잘 마시는 데는 다 노하우가 있는 거다.
1	저 안에 든 거 뭔데요?
3	 당신 지금, 돈 벌어 오는 걸로 그렇게 유세부리고 있는 거야?
2	저는 너무 비싼건 필요 없고… 그냥 제일 기본적인거 사면 돼요.
7	오 역시. 그럼 내놔봐.
7	그래 정말 고맙다 지우야. 진짜로 고마워. 내가 재하한테 연락하라고 할게.
5	"…지금 저한테 무슨 부탁을 하시는 지는 알고 계신가요?	 저한테 지금 친딸을 만나지 말라고 하시는 건가요?"
6	원래 인생이 이렇게 힘든 건가요?
7	그렇지.
4	비밀로 하려고 그런 게 아니라…! 좀… 나도 정리가 되고, 마음의 준비도 하고 그런 다음에 이야기를 하려고 했던 거지.
4	친구가 엘리베이터에서 귀신 본 이야기 해서, 무섭단 말이야…
2	그런게 아니라…그 분이 착각을 좀 하신 거 같아요. 분명, 시럽 빼달라고 하셨어요.
