	Unnamed: 0	multimodal_emotion	text_script
0	14738	1	뭐 사주지?
1	35591	4	엄마… 또 아빠랑 싸웠어?
2	13191	4	너는 남편이랑 잘 지내?
3	4865	0	아.. 시간 아깝게..
4	43816	2	어, 들린다. 뭐지 이거? 쥐 같은데?
5	73889	7	그거 다 옛날 말이죠.
6	59108	5	어디? 사거리, 거기?
7	25380	3	몰라 나는 애 키우고 고생하느라 팍 늙어버리고. 당신은 나가서 뭘 하길래 회춘을 했을까?
8	57477	2	근데…. 나 승지랑 안 친한데.
9	36126	3	다시 말씀드려도 소용없어. 선생님이랑 얘기 다 끝났어.
10	72328	7	"나는, 바닥부터 경력을 쌓아서,  경험도 자본도 인맥도 부족하지 않은,	 아주 탄탄한 지반 위에서 차릴 거야. 	 그래서 소속 아티스트들에게 정말, 어디서도 꿀리지 않는	 환경을 제공해줄 거야.  오로지 공연과 연습에만 집중할 수 있는! 그런 환경!"
11	54247	5	 왜?
12	28642	3	솔직히 사람이 어떻게 3시간을 자요. 3시간 자면 백프로 학교 가서 졸면서 잠을 보충하게 되어 있다니까요.
13	58724	4	저 알바하느라 바빠서요.
14	65116	4	벌써 세월이 이렇게 됐다. 내가 어머니 돌아가셨을 때보다도 나이가 많네.
15	73351	7	산책만 같이 안 했지, 다른 건 다 같이 하잖아.
16	32872	3	왜 사과를 안 해?
17	17505	1	너무 감동적이라서 말이 안 나온다.
18	25214	2	음… 그냥 단도직입적으로 얘기해줘야 알거 같은데…
19	24915	2	네. 그래도 신중하게 생각해서 결정하세요. 난 너무 걱정되서…
20	8467	7	휴.. 봐봐 할머니. 일단 사진을 찍었잖아. 그럼 여기 앨범으로 들어오지?
21	68081	4	 진짜.... 너무하시네요.
22	23478	1	그럼 아홉 숟가락만 먹자. 어때?
23	1642	6	여보, 요새 서준이가 통 나랑은 말을 잘 안 하려고 드네.
24	58097	2	네…. 죄송해요.
25	78970	6	"우리 이런 얘기 하지 말자. 	불편해."
26	74043	2	그러면 그냥 돈으로 줄까?
