multimodal_emotion	text_script
1	뭐 사주지?
4	엄마… 또 아빠랑 싸웠어?
4	너는 남편이랑 잘 지내?
0	아.. 시간 아깝게..
2	어, 들린다. 뭐지 이거? 쥐 같은데?
7	그거 다 옛날 말이죠.
5	어디? 사거리, 거기?
3	몰라 나는 애 키우고 고생하느라 팍 늙어버리고. 당신은 나가서 뭘 하길래 회춘을 했을까?
2	근데…. 나 승지랑 안 친한데.
3	다시 말씀드려도 소용없어. 선생님이랑 얘기 다 끝났어.
7	"나는, 바닥부터 경력을 쌓아서,  경험도 자본도 인맥도 부족하지 않은,	 아주 탄탄한 지반 위에서 차릴 거야. 	 그래서 소속 아티스트들에게 정말, 어디서도 꿀리지 않는	 환경을 제공해줄 거야.  오로지 공연과 연습에만 집중할 수 있는! 그런 환경!"
5	 왜?
3	솔직히 사람이 어떻게 3시간을 자요. 3시간 자면 백프로 학교 가서 졸면서 잠을 보충하게 되어 있다니까요.
4	저 알바하느라 바빠서요.
4	벌써 세월이 이렇게 됐다. 내가 어머니 돌아가셨을 때보다도 나이가 많네.
7	산책만 같이 안 했지, 다른 건 다 같이 하잖아.
3	왜 사과를 안 해?
1	너무 감동적이라서 말이 안 나온다.
2	음… 그냥 단도직입적으로 얘기해줘야 알거 같은데…
2	네. 그래도 신중하게 생각해서 결정하세요. 난 너무 걱정되서…
7	휴.. 봐봐 할머니. 일단 사진을 찍었잖아. 그럼 여기 앨범으로 들어오지?
4	 진짜.... 너무하시네요.
1	그럼 아홉 숟가락만 먹자. 어때?
6	여보, 요새 서준이가 통 나랑은 말을 잘 안 하려고 드네.
2	네…. 죄송해요.
6	"우리 이런 얘기 하지 말자. 	불편해."
2	그러면 그냥 돈으로 줄까?
4	"아하하....	 직원들 잘 챙겨주셔서, 감사히 생각하고 있습니다."
4	하은아, 방금 선생님이 전화를 받았는데, 어머니께서 전화하셨어.
3	집에 어디 있을껄.... 이라는 건... 안 쓴다는거네요?
0	학원 일 년 쉬면 발레는 끝이야.
5	"아이 참. 현금은 좀 정 없으니까 상품권으로 할란다요.	 형수님 어디 백화점으로 자주 가시나?"
3	나는 손이  여기까지 올라왔어. 진짜 낚아 챌 뻔 했잖아.
5	톡 할게요.  형. 수한이가 미역라면 사도 되냐는데요?
1	응 여보 얼른 가서 물어봐바.
0	야. 기도해서 잘 된 거였으면 승찬이는 1등 대학 갔지. 승찬이 어머니가 매일같이 새벽 기도 가셨는데. 근데 승찬이 재수하잖아.
7	야! 축하해.
6	그래…솔직히 당신 맨날 의심하고 그런 것도, 나 힘들었어.       이제 그냥 서로 놓아주자.
0	[스브스 뉴스] 만드는 사람들이 저희 회사 직원 5배도 넘어요.
0	너는 스마트폰도 있으면서 왜 자꾸 동생이 재밌는 거 하는 거 방해하고, 욕심부리고, 엄마가 너네 둘 그렇게 싸우라고 가르쳤니?
5	그래? 상윤이가 왜 그랬을까?
4	이모가 니 얼굴 볼 면목이 없다.
4	울보라고 놀렸어.
6	"몰라. 엄마 아빠가 속 한번씩 뒤집어 놓는데 	 일가견 있으시잖아."
0	너 학교 어디야? 부모님은 어디야?
6	비상약도 챙겼어? 소화제나 멀미약같은것도 다 넣어 가.
7	이번에 홍콩 여행 갈까 생각중이에요.
1	그러게. 젊은 사람들은 [녹색서림] 많이 쓰더라.
3	푼수구나?
6	어유. 언니는 박 선생님이 의사니까 그런 얘기를 하는 거 아니야.
7	엄마야 어떡하냐. 희라엄마 알면 큰일 나겠다.
4	그게 어려운 일이긴 하지. 그래서 다들 엄청 열심히 공부하고.. 꾸준히 공부하고.. 그러지.
6	친구들하고 술 마셨어요.
2	동생은… 좀 폭력적이에요. 다 어른들 보고 배운건데. 이대로 두면 진짜 동생 나쁜 사람으로 클까봐 무서워요.
5	아 그거 샀어? 잘했네.
1	좋은데 가자! 우리 귀한 아들딸들 비싼 거 먹여주고 사진도 찍고 기분 좀 내보자!
2	그러게 꼭 그 꼴이네.
5	책이요?
6	진짜 별로네. 세상에 왤케 이상한 놈들이 많냐.
6	꼭 우리 형 본 것처럼 말한다.
6	아 지금 하고 있네.
7	니가 불러만 준다면! 난 최선을 다해볼게!
5	알지 알지. 지금까지 밀린 게 얼마지?
1	그래야겠다. 이게 내가 가을 들어서기 시작하면 피부가 많이 건조해지면서, 이따금씩 가렵기도 하거든.
6	너는 임마. 예진 씨한테 잘 하고 있고?
4	그만 놀려… 나 울거 같아…
3	을인게 잘못이지 뭐.
7	 음… 여기 원두가 괜찮네.
5	세계여행? 갑자기? 얼마나?
6	글이 너무 안 써져.
7	오호…기선을 제압하시겠다? 그럼 저도 오늘 봐드리지 않고 전력으로 임하겠습니다.
0	섹시스트 시냐구요. 성차별주의자.
1	아니야 진짜 고마워.. 살다 보니 가족 밖에 없더라.
5	그러냐?
5	네..? 무슨 말을 그렇게 하십니까?
3	그래~ 아팠구나. 근데 너 지난주에도 아프다고 하지 않았냐?
0	그럼 나도 안 사줘.
0	누가요? 누가 그런 모함을 해요? 어두워서 잘못 본 거 아닐까요?
3	응. 남자야. 그런 사람들 보면 꼭 남자더라고.
6	"아니. 얘기는 안 했는데, 	 식탁 위에 떡하니 올려놨던데?"
5	에? 지금?
7	내가 뭘 언제 사준다고 했어. 그냥 맛있는 거 같이 먹자는 거지. 너 다른 거 사달라고 하면 안 된다.
6	"힘들면 힘이 들어야지.	 힘들다고 후다닥 요양원에 보내버려?"
6	네.. 저는 안 갈래요.
2	말씀 드리잖아요. 아이가 살려달라고 하는 소리를 들었다고요.
5	심했다.
2	용돈 모아서.
2	나는 아직도 눈에 선하다. 선해!
1	일단 첫 번째 차는... 외제차야. 중형 세단인데. 휘발유차고, 묵직한 바디에 반자동 주행도 가능해. 차값은…어,  7천정도…
4	저도 남비서가 그럴 줄은….
3	에이 그냥 너 예뻐서 만지는 거 아니야?
4	엄마가 쓰던 거 물려받았어요... 완전 오래된 거예요.
4	아, 마음 아파. 학교 커뮤니티에도 글이 몇 번 올라왔었는데, 보호소로 넘겨져 봤자 14일 안에 보호자가 나타나지 않으면 안락사 당하니까 함부로 보호소로 넘길 수도 없고… 어렵다고 하더라.
0	경찰에 넘기는 수밖에 없지. 아저씬 분명히 기회 줬어.
5	무슨 학원인데?
5	새벽 4시 쯤에 지나갔어요. 저는 인도로 걸어가고 있었는데 하얀색 자동차가 초록색 자동차를 박더라구요.
7	어 예쁘네. 저기가 남해냐?
2	더 좋은 집으로 가게 냅둘 걸.
2	그럼 한번 시켜봐.
7	맞아. 그 소리랑 비슷한 거 같기도 하다.
5	야 그래도 오빠지. 아저씨라니.          이렇게 젊은 아저씨 봤어?
6	우리 회사가.. 업무 강도가 세긴 하죠.
0	저번에도 잊어버렸다고 했잖아. 벌써 지금 삼주째 책 안 읽어오고 있는데, 책을 읽어야 같이 토론하고 글을 쓰고 하는데 수업을 따라갈 수가 없잖아.
7	정말요? 왜, 왜요?
2	윤성아. 너 여기가 첫 직장이랬나..?
4	아니야. 그냥 옛날 생각하다보니 그런거지... 그게 아니야..
7	아니 며칠 전에 티비에서 그냥 해주더라고. 할 일 없어서 보다가 1화부터 봄.
3	그 나이에 임신한 게 자랑이냐 그럼? 넌 퇴학감이야.
6	엄마는 맨날 까먹어. 나한테 관심이 너무 없는 거 아니야?
2	그게 무슨 말이야? 나는… 너는 날 안 좋아하는 줄 알았어.       그래서 지금까지 말 못 했어.
6	"시급 받고 일하는 거잖아.	 이것도 일에 포함된 건데."
0	어쨌든 니가 밀쳐서 넘어진거 잖아. 근데 넌 미안하지도 않아? 너 그럼 이제 친구한테 사과도 안 할거야?
4	3년…
4	나는 차 없잖아.
1	어어. 감귤주스 있어. 잠깐만. 
0	야!
3	이장회의 회식을 어떻게 나눠서 하나!
7	다 잘 될 거야. 걱정마.
0	언니도 반바지 입고 놀았잖아.
0	인원확인도 안하고 출발하셨나. 에이. 기다려봐. 
4	정말 아쉬웠겠어요.
4	뭐라고 놀리는데?
4	머리 이렇게 잘랐다고 엄청 뭐라 했어.
5	게임보다 책이 재밌다고? 난 그렇게 말하는 사람 난생 처음 본다.
6	"내가 할 게 뭐가 있다고. 	괜찮아 안 심심해."
7	강남에서.
5	 네? 120만원이요? 대체 뭘 하는데 120만원을 써요 도련님이??!!
6	엄마. 생활비만 해도 한 달에 100은 쓰는데.
4	네. 다음부터 안 그럴게요.
7	"이마에서 피 한 방울이 똑 떨어지더라?	 그러더니 걔 눈에서도 눈물이 똑 떨어지는 거야."
3	아 진짜. 내가 너한테 연애조언을 들어야 되냐?
0	 그래서 선생님이 어떻게 했다고? 숙제를 손으로 안 쓴 사람 다 일어나라고 했다고?
0	떼먹어…? 말하는 싸가지 하고는...
5	네?
3	자네가 저번에 사업체를 하나 차렸다고 했지?
5	근데, 아빠를 사장님으로 만날 수 있겠어?
7	장하네.
7	" 	그래요."
7	 아빠가 제 2의 인생 설계를 시작했어.
1	아무도 안 지나갔어요.
4	네… 더는 안되겠어요.
6	내가 뭘.
0	너, 일로 와봐.
6	그래. 걔가 저번에 우리 늦게 끝났을 때도 고생했다고 택시도 다 불러다주고.
6	"내가 뭐가 보수적이야. 	나는 한국인 스탠다드고. 	너는 탈한국인이고."
1	둘째는? 생각 없어?
6	요즘 들어 바쁜가 보지.
5	어 근처에 한 군데 있다. 7시까지네. 지금 가자.
1	뭐 해주면 좋겠는데? 지은이가 해달라고 하는 건 다 해줄게.
0	할아버지는요!
6	왜요? 너무 무서운데...
4	선생님. 저 엄마한테 다 얘기 해놨어요. 이번 훈련 캠프 안 갈거에요.
7	그러니까. 현아 결혼할 때까지 건강해야 되는데.
7	너 들어오기 전에 팩 좀 했지.
6	그래서 누가 더 좋냐구요, 할머니.
7	씩씩하게 잘 왔네요. 배가 어떻게 아파요?
2	얼른 소화제 챙겨 먹어.
2	관리실에서는 뭐라고 해? 왜 이렇게 정전이 되는 거래?
6	뭘 알겠어?
5	베란다에 빨래 널어놓은 거 있는데, 그거 얼른 걷어야겠다.
3	공복을 해소하는 게 최선의 목표지. 맛있는 거 찾다가 언제 배 채우니? 나 같으면 진작에 냉장고에 있는 김밥 먹었다.
6	하아…
6	준영아. 나도 미칠 것 같다. 애초에 결혼을 하지 말았어야 하나 그런 생각까지 들어. 요즘 재희랑도 소원해졌고.
2	 아니에요! 제가 찾을게요! 앉아 계세요!
1	응. 근데? 누나도 그거 했어?
1	응. 언니 얘기 듣고 참고하려고.
7	"배기...베기....	 커플 베기 팬츠를 맞추자고 했을 것 같다."
4	저기 팀장님! 여기 컴퓨터에 공유 문서 넣는 법을 어제 배웠는데 잘 생각이 안나서.. 혹시 좀 알려주실 수 있을까요?
2	 엄마!
5	몇 시에?
6	아이고 나는 어렸을 때 녹용 한 번 잘못 먹고 살 찐 이후로 녹용은 잘 못 먹겠더라구요.
7	네. 걔가 얼마나 착하냐면요. 막 왕따 당하는 애한테 일부러 말 걸어서 같이 밥도 먹으러 가고요. 길고양이들한테 밥도 챙겨주고. 그리고 주말마다 노숙자 쉼터에 봉사활동도 가요.
7	고맙다. 우리 딸.
2	아 아니. 문제집 사니까 좋지. 나 공부 열심히 할거란 말이야.
0	에이 학생이 좀 오바한다
7	응응 일다는 냅둬봐. 조금 더 보자. 요즘 시험기간이지?
6	진짜지? 선생님 민규 믿어도 되지?
0	다른 애들이 왜 너를 모함해.
1	극한의 의지력으로 적금을 들기는 했어.
7	여자친구.
4	어떡해…!
2	아 그거 빨간색 버튼.
0	안 위험해.
2	안돼요! 아버지한테 연락하면 저 죽어요
5	 택배왔다.
6	전 여친이 선물해줬구나.
1	네, 저도 한 곳에서 오래 일하는 걸 선호하기는 하는데, 아무래도 학교 다니는 중이고, 이제 4학년이고 하니까, 방학 끝나고 나면 좀 어려울 수도 있을 것 같아서요.
7	야, 아무리 중고차라도 당연히 3년은 타지~ 무슨 소리야~
0	내가 더럽고 치사해서 이제 안 입는다!
1	안돼. 어른 돼야 마실 수 있어 술은.
5	아아… 그랬나요? 저는 공지문에 7시라고 적혀 있어서 그런 줄만 알았어요.
0	참나… 너 이상한 애다. 내가 물어볼 수도 있지. 내가 왜 경찰이야?
7	저희가 이제 잔치국수도 만들고 돼지고기도 삶고 전도 부치고 할 거예요. 할아버지도 꼭 오셔요.
5	뭔데.
2	진짜 괜찮은데…
4	"...음...선생님이 보민이에 대해 잘 몰라서 	 정확히 말하진 못하겠지만....	 그 정도로 힘든 일이 있었다면 예린이한테 얘기하지 않았을까?"
6	" 너 그럼, 	 매주 나오던 용돈 끊기는 건데?"
4	딸이 고생이지.
2	아…
5	어이구. 그러셔요. 그럼 너 돈 주고 사면 되겠다.
6	여기 거제도.
4	응... 요즘 취직이 어렵다면서...
3	어머, 지금 같은 불경기에 수출? 어디로 수출을 해요?
1	형. 형도 수염나?
5	왜요?
6	뭐 한 200 모았냐?
6	아아~ 마트가서 사오면 되잖아요 그럼.
7	지영씨! 이번에 아버님 환갑이라면서?
2	그래? 너는 친구들이랑 다 잘 지내는거야?
1	어. 아빠는 평소에도 워낙 자주 씻으니까, 아저씨 냄새 같은 거랑은 거리가 좀 있긴 하지만… 비누냄새보다, 바디워시 냄새가 나니까 더 좋은 거 같아.
4	 정말? 안되는데.
7	근데 약을 사온다고 바퀴벌레가 없어질까?
4	그런가? 그냥… 책 보는 시간 만큼 남들과 어울리는 시간이 적으니까… 친구가 아주 많지 않은 걸 수도 있고. 잘 모르겠다.
5	왜? 무슨 일 있었어?
4	응, 고마워 누나!
4	근데… 어제는 된다고 하셨잖아요.
6	무서울 게 뭐가 있어. 잘 할텐데.        우리 승아, 뭐든지 다 잘 하잖아. 똑부러지고. 말도 얼마나 잘 하는데.
4	죄송합니다.
4	나 핸드폰 바꾸면 공부 진짜 열심히 할게요.
3	언니랑 나랑 엄마랑 있을 때, 우린 맨날 그 이야기해. 우리집에서 제일 손 많이 가는 ‘애’가 정덕철이라고.
1	주관식이긴 한데, 나오는 원본이 다 똑같으니까 그걸 숨겨서 들어갔대.
5	 어머, 나리 학교가니.
5	아팠어? 어디가?
2	응 무서워. 그리고 여기 근처에 성범죄자도 산대.
2	조금 있으면 네 차례다 들어가서 의사랑 이야기를 해 보자.
7	응응 미숙이 할머니가 미국에서 온 할머니 맞지?
6	고기도 너무 얇고
0	지금 저랑 부딪혔잖아요.
6	아침마다 까마귀 고기라도 먹냐! 어떻게 하나도 기억을 못해?
0	지금 제 허락도 안 구하고 여기 오셔서, 제 신상 캐묻고 계시잖아요.
5	 김 과장님, 점심 안 드셨어요?
0	아. 거 언제까지 붙잡아 둘거요?
4	너희 엄마가 전화를 안 받으시니까.
0	부장이 허락한걸 지가 뭐라고, 못 쉬게 해?
3	왜 그래, 왜. 속 시원하게 말 좀 해봐.
1	아유! 답답해.
4	아이고, 지율이 속상했네.
4	앞이 꽉 막힌거지…
3	알았는데, 저도 이제 거의 성인이거든요? 제 삶은 제가 좀 알아서 하게 해주세요.
0	됐어 그럼! 다 집어 치워! 나 안해!
6	근데 왜 돌아가신 분들에게 음식을 줘요?       어차피 먹지도 못하잖아요.
1	우리집 강아지.
0	야 그게 그거 아니야?
1	세제로 씻는 게 아니야, 뜨거운 물로 씻어 내는 거지. 너 찬물로 설거지 하지.
5	엄마가? 아니~ 크리스마스는 산타할아버지가 주시는 날이야. 엄마는 쉬는 날.
4	그래. 고마워.
6	연락 자주 못한 건 미안해, 누나. 아픈덴 없고?
7	어떻게 알고 오셨어요?
1	너는 귀신이 무서워?
0	아니, 고작 몇 대 때린 거 가지고 형사처벌을 해요?
0	근데 왜 안 보여줘. 선생님 보여 줘야 채점하지.
6	나도 뭐, 고백 하나 해도 돼?
0	그거밖에 안된다고? 소값이?
1	너도 내 나이가 되면 이해할 수 있을 거야.
7	그럼, 내가 건강하게 낳아놨는데.
7	엄마는 평생 좋은거지~ 평생 보고 싶은거야.
1	응. 사실 그래서 인터넷을 한 회사에서 오래 썼으면 핸드폰도 기기 변경을 많이 하게 되지.
0	뭐가 싫어. 이렇게 행동하지 말던가.
7	알았어. 그럼 얼른 가서 먹고 오자.
7	휴가 나온 거냐?
7	할머니 식사하셨어요?
4	"소화가 어떻게 안되는데요?	 매 끼니마다 그러셔요?"
1	그 자리까지 올라서, 버티고 계신 것만으로도 이미 대단하신겁니다.
4	" 에휴, 짠한 거. 	 유치원 끝나고, 그 어린 게 엄마 기다린다고, 길가에 나와서 놀다가...."
0	할아버지는 독재자야!
3	개밥이야… 그렇게 뭐든 말아서 그냥 퍽퍽 퍼먹는데…  진짜 너무 비위상해…
7	아니야. 너 재능 있는 거 같아. 삼촌이 볼 땐 그래.
2	아니야… 그래서 아빠가 뭐래? 담배 끊는대? 뽀뽀 안 한대?
2	아니요 그런 건 아니고.
6	이름도 모르겠어요 급해요..!
3	그 친구가 많이 서운했나 보네. 사과하지 그랬어.
5	응 뭔데 소율아?
7	설마.......!!!
2	그럼. 그리고 꼬마야, 니 이름이 예서니?
3	돈 거저 주겠어? 너 얼마 받냐? 월 200?
1	교육 정책이 어떻게 바뀌어야 한다고 생각하세요?
4	평균 6등급…? 7등급? 조금 안되게 나왔어요. 6.5등급?
0	….. 내가 언제 성을 냈다고 그래?
3	이야.. 수능이 35일 남았는데 너는 밤에 잠이 오냐? 이 아빠는 하루에 세시간씩 자면서 공부했어 임마..
4	아니에요. 감사했습니다.
0	물어봐. 뭐 첫 단서를 알아야, 다음 단계로 넘어가지.
6	알았어.
6	아무거나.
7	진짜 너무 잘해서 칭찬하는거야!
5	네? 제 태도가 무슨...?
7	누나, 내 매니저 할래요?
2	 지연인 죽었어… 지연인 죽었다고…
3	너, 그 선생님 예뻐서 바꾸기 싫은건 아니고?
7	고마워. 노력해본다는 말만으로도 힘이 된다.
6	"나만 이렇게 생각하는 거 아닐걸?	 효숙이도 불만 많어."
5	와... 진짜 원한이 대단하네?
0	아 뭐 별로 많이 안 빌렸어. 아빠가 그걸 또 말했어?
1	안 내셨으니까 선배님이 13페이지까지 하세요.
3	큰소리 치기는... 맛 없기만 해 봐라.
7	속 괜찮겠어?
7	아 찬희 오빠 진짜 당당하고 최고다. 나도 그렇게 하고 싶다.
1	너는 이번 명절에 어디 가?
0	공부 잘 하는 수진이는 다이어트 한다고 밥도 안 먹는데 전교 3등하더라.
1	그럼 당신은 어디 가고 싶은데?
2	바퀴벌레..
3	세례를 받지 말라는 말씀이세요?
1	우리는 이제 지하철 타는 게 공짜잖아.
5	아 엄마!
6	"예쁜 게 다, 니 것이 되어야 되는 건 아니잖아. 	좀 자제해."
2	어머머.. 수진쌤이 거진 십년 가까이 요가 선생님 하셨는데 어쩌다 그만두셨대?
4	내가 다 속상하네 정말.
0	 하..
2	응 아빠는 안 무서워?
0	내가 먹고 싶으니까!!!
1	응, 리모델링도 한 번 새로 싹 했고, 때 되면 수리하고… 관리를 아주 열심히 했거든.
5	진짜? 엄마는 그런 것도 알 수 있어?
4	서운하니까 그러지.
2	응 좋아. 근데 엄마가 갑자기 오거나 할까봐 좀 걱정이야.
3	"제 요리 실력 아시면서, 굳이 또 물어보시는 거에요?	 제가 또 솜씨 한번 발휘해 드려요?"
2	군수님… 이거 어쩜 좋죠?
4	에이 왜 그래. 바닐라 제일 좋아하는거 알잖아.
6	그래도. 한 시간 반은 걸리지 않아?
3	여자들이 뭐 다 똑같은거 좋아하냐? 사람마다 다르지.
2	뭘 시작할건데?
1	너 과외 그만뒀냐?
5	사랑니? 너 사랑니 아직도 안 뺐니?
5	네 감사합니다. 그래서 어디로 가시는데요?
0	너가 또 보라색이랑 노랑색 다 섞어놔서, 나 그것도 모르고 그림 그리는 데 잘못 칠했잖아!
2	오랜만이네.. 잘 지냈어?
1	네. 교실 칠판에다가 이름 적어 뒀어요.
5	언제 산 건데?
5	부모님은?
1	아씨. 남자자식이 그 말 했다고 삐져가지고. 아 미안하다 미안해. 빨리 방 들어와.
5	뭐? 재동이가…? 바지에 오줌을 쌌다고? 그게 무슨 소리야? 바지에 실수한거야?
3	얘가 진짜 아직 철이 없네. 너 게임 하지?
4	아니… 하나도 안 좋아.
4	미안해, 지은아. 하지만 아저씨들이랑 선생님들이랑 같이 버스를 항상 잘 점검하고 있으니까 걱정 마.
6	 어머나 남사스러워라.
2	그러게요. 그 날 길 잃으면 안 되는데.
4	그래도.. 세정이도 정말 저한테 미안해하고 있을까요?
4	네… 엄마한테 다 얘기했어요. 전 안 가요…
1	그래? 한 번 보고 싶다.
5	어머 슬기랑 혜지가 화장을 해?
1	응. 출근하는 날은 매일 면도하지.
1	아...야 어떡하냐. 여자친구는 알고 있냐?
2	근데 그렇게 경찰차까지 와요?
4	그래.. 하긴 지금까지 삼촌 엄청 열심히 일했으니까. 최근에 큰 일도 많았고.
2	음… 그건 안될 거 같은데.
4	응. 그렇지... 난 왜 이렇게 밤잠이 많을까.
1	왼쪽 구석을 유심히 보세요.
2	네….
6	 아니, 뭘 흘린 건지,  여기저기 자국도 흐-옇게 그대로 남아있고,  바닥에도 쓰레기가 막 굴러다니잖아.
5	드론부!?
1	그래, 일단 놀란 가슴부터 진정시키고, 천천히 하자. 천천히. 엄마가 도와줄게.
3	없겠죠?
6	네. 계속 이력서는 내고 있는데 잘 안되네요.
7	아! 감사합니다.
2	..나 한.. 천만.. 아니 이천만원만.
5	냉장고에 있던 아이스크림 못 봤어?
5	카메라 한 대 사려고 하는데, 추천해 줄 만한 거 있니?
2	아... 아시다시피 그... 주차장이 자리가 각각 정해져 있잖아요..?
6	"아마 아빠 직업상 다른 곳으로 발령 날 	일은 거의 없을 것 같은데?"
5	네? 당연히...
1	그래 알았어. 나도 어린애들처럼 순간의 감정에 이끌려서 이런 일을 결정할 순 없지.
0	아니, 왜 자꾸 그러세요. 무슨 돈으로 또 해줬어요? 땅 팔았어요?
0	 저거 엄마한테 말 싸가지 없게 하는거 봐. 너 어른한테 말 조심해. 엄마도 어른이라고 했지?
5	이번에도 또 고장난 거면 어떻게 해요, 선생님?
3	야 너는 무슨 영화도 혼자 못 보냐.
6	알겠어.
7	그러니까 말이야. 안 그랬으면 어쩔 뻔 했어. 아무튼 잘 크고 있다니 다행이네. 엄마는 어디 계시니?
1	할아버지랑 같이 게임 같이 할래?
7	 아 네~ 알겠어요. 그러면 제가 해드릴게요. 잠시만요.
1	이게 뭐야?
7	그래.
1	그럼 얼마에 사는 거에요?
5	무슨 일 있어?
2	"무슨 말을 하긴. 	 ‘송편 먹었냐?’ 그래."
7	"	니가 했는데, 내가 어떻게 안 먹냐? 당연히 먹지."
