	multimodal_emotion	text_script
71410	7	 진짜로?
71411	3	야, 두고 봐. 너랑 나랑 똑같이 숙제를 안 하잖아?        그럼 너한테는 별 말 안 하고, 나만 엄청 잡을걸?
71412	4	그렇구나. 되게 좋은 분인 줄 알았는데.
71413	7	겉만 봐서는 모르지.       근데, 그 라이벌이라는 애랑은, 친구였어?
71414	4	음…. 친구... 라고 해야 되나. 
71415	5	뭐야. 뭔데?
71416	7	그냥… 내가 좀 좋아했었어. 걔를.         아… 내가 별 말을 다 하네.
71417	7	헐 대박. 어떻게 라이벌을 좋아해?        맨날 너보다 공부도 잘했다며.        나 같으면, 더 미워했을 거 같은데.
71418	6	글쎄.. 그냥 나보다 늘 잘난 친구라서.        맨날 걔만 쳐다보고 있었거든. 그래서 좋아하게 됐나봐.
71419	7	오~ 로맨틱해. 그래서, 고백은 했어?
71420	6	아니. 그냥 나 혼자 좋아했어. 걔는 남자친구도 있었어.
71421	5	뭐야. 누구랑 사겼는데?
71422	6	우리반 꼴등이랑.
71423	5	대박. 그럼 1등이랑 꼴등이랑 사귄거야?
71424	7	어. 웃기지.
71425	7	완전 미녀와 야수도 아니고. 천재와 꼴통인가?
71426	7	 그러게. 걔가 진짜 엄청 잘생겼거든.        나중에 막 소속사 계약도 하고 그랬어.
71427	5	 어어. 역시, 사람은 잘생기고 봐야 되나봐.
71428	4	그러게. 슬프다.
71429	7	 너도 잘생겼는데?
71430	2	 어? 고.. 고마워.
71431	7	뭐, 나쁘지 않게 생겼단 얘기야.
71432	7	그런 얘기는 처음 들어봐. 고맙다.
71433	7	진짜? 야, 너 좀만 꾸미면 괜찮을 거 같은데.       이 언니가 스타일링 좀 해 줘? 말만 해.
71434	5	스타일링...?
71435	7	그래. 너 그 머리 스타일부터 좀 바꿔야겠다.        촌스럽게 머리가 그게 뭐냐?
71436	6	 엄마가 이게 잘 어울린다고 했는데…
71437	7	야, 너는 나이가 몇 갠데 엄마 말을 믿냐?        엄마가 좋아하는 스타일은, 패션의 무덤이야 무덤.
71438	6	그, 그런…거야?
71439	7	 여~ 좋은 아침.
71440	6	 어….
71441	6	뭔 일 있어? 목소리가 왜 그래?
71442	6	….아니야.
71443	6	아니긴. 왜 그러는데? 뭔 일 있어?
71444	6	…..엄마가.
71445	6	엄마가?
71446	4	머리 이렇게 잘랐다고 엄청 뭐라 했어.
71447	7	뭐라고?  야, 너 성공했다.
71448	6	뭐?
71449	7	엄마가 뭐라고 하는 머리가. 진짜 예쁜 머리인거야.        너 어른들이 제일 좋아하는 게 뭔줄 알아?
71450	4	뭔데?
71451	6	우리가 세상에서 제일 못생겨지는 거. 지들은 입고 싶은 거 다 입고        머리도 지멋대로 하면서, 우리는 왜 하지 말라고 하는지 진짜 모르겠어.         그렇지 않냐? 교복은 또 왜 입히는지. 불편하기만 한데.         야, 암튼 그런걸로 기죽지 마.         너는 이제, 진정한 패션의 세계에 들어온거야.
71452	6	어…. 그런 거구나.
71453	6	그래. 너 평생 엄마가 시키는대로 할거야?         너 그러다가 마마보이 돼. 여자들이 제일 극혐하는 남자. 마마보이!
71454	2	조심해야겠네...
71455	7	일단 너는 좀 반항아가 될 필요가 있어. 반에서 3등이 뭐냐. 재미없게.       이 언니를 좀 봐. 인생 잘 즐기잖아?
71456	7	 그런 것 같네. 존경스럽다.
71457	5	뭐 읽어?
71458	7	어? 이거. UFO의 진실.
71459	6	그게 뭐야?
71460	0	UFO 모르냐?
71461	6	알긴 아는데. UFO의 진실이 뭐라는데?
71462	3	뭐긴 뭐야. UFO는 실제로 존재한대.
71463	6	 그게 뭐야. 그게 진실이래?        무슨 증거로?
71464	3	증거야 많지. 여기 책에 나오는 사진도 엄청 많이 나와.
71465	6	그거 다 조작이야. 넌 무슨, 그런걸 믿냐?
71466	6	조작 아니야. 요즘엔 동영상도 있다니까? 인터넷 치면 다 나와.        무시하지마. 너 공부 잘한다고, 나 무시하냐?
71467	6	그런게 어딨어. 그냥, 난 원래 의심이 많어.
71468	3	세상 피곤하게 사네. UFO가 있다고 믿으면, 세상이 얼마나 다르게 느껴지는데.
71469	6	왜?
71470	7	그렇잖아.         지금이랑은 다른 세계가 있는 거니까. 나랑은 완전 다르게 생기고,       나랑 완전히 다른 차원에 있다는 존재.        외계인들은, 무슨 생각을 하면서 살까? 그걸 생각하는 것만 해도       하루가 지루하진 않거든.
71471	7	그래. 존중할게.
71472	3	진짜라니까? 내가 다음에, 우리집에 있는 UFO 관련 책들 다 보여줄게.       거기 보면, 2030년에 거대한 UFO가 지구에 찾아올거래.
71473	7	        어때? 이 사진들 완전 진짜같지 않냐?
71474	6	그런 것 같기도 하고. 근데 요즘엔,       사진 합성 진짜 아무나 다 해.
71475	3	합성 아니래도. 야, 너는 어떻게 영상을 합성하냐?
71476	6	그럼, 판타지 영화는 다 진짜냐? 그거 다 CG한거지.
71477	6	아이씨. 그거 가짜인거 티나잖아.        UFO 영상들은 진짜로 그 존재감이 느껴진다니까?
71478	2	 알았어 알았어.
71479	4	아 열심히 봐봐.
71480	4	 야. 근데, 왜 외계인들은      그 멀리서 UFO를 타고 와가지고, 우리랑 인사도 안 하고 갈까?
71481	6	그거야. 걔네 입장에선, 우리가 미개한 종족들이니까.        그냥 이런 애들이 있구나, 하고 돌아가는 거 아닐까?
71482	6	겨우 그런걸 하려고 여기까지 온다고?        그럴 바엔 그냥 망원경 같은걸 개발해서, 그냥 관찰만 하면 되잖아.
71483	6	야 세상에 어떤 망원경이 그렇게 멀리까지 보여줘.
71484	4	이렇게 멀리까지 올 정도의 기술력이면,        그 정도는 있을 것 같은데?
71485	2	그럴래나. 암튼, 난 잘 모르겠어. 아니면, 좀 간을 보고 있는건가?       언제 우리한테 쳐들어올지?
71486	7	 그럴 수도 있겠네.
71487	6	야 나 진지하다고.
71488	6	근데 너는 왤케 UFO를 좋아하냐.
71489	4	 …..그냥. 좋잖아. 다른 세상이 있다는게.
71490	6	어, 저번에도 그 말 했었다.
71491	4	그랬나. 모르겠어.        사실, 그냥 희망을 가지고 싶은 것 같기도 해.
71492	4	희망?
71493	2	응. 왜, 외계인들은….. 다른 차원을 통해서 왔다고 하잖아.        블랙홀 같은거. 근데 그거 아냐?        블랙홀을 통해서, 과거로도 갈 수 있고       평행우주로도 갈 수 있대.
71494	6	평행우주? 그게 뭔데?
71495	3	너는 공부도 잘 한다면서, 평행우주도 모르냐?
71496	4	모를 수도 있지. 그리고 난 UFO같은거 관심 없거든?
71497	6	몰라도 진짜 모르네. 왜, 만화나 영화에 많이 나오잖아. 평행우주.       우리랑 똑같은 사람들이 사는 세상인데, 결과는 완전 다른 곳.
71498	6	그런게 있어?
71499	4	응. 예를 들면, 지금 여기에서는 우리 엄마가 없지만       다른 평행우주에 사는 김지은한테는 엄마가 있는 거지.
71500	4	 …그런 곳이 있을 수도 있구나.
71501	4	응. 근데 UFO가 진짜로 있다면,        그런 세상이 왠지 진짜로 있을 것 같거든.        우리는 모르지만, 우리보다 훨씬 발전한 외계인들은        그런 세상도 마음대로 다닐 수 있을 거 아니야.
71502	2	응.  그러고보니까,        이거 합성 아닌 것 같다.
71503	4	응?
71504	6	이거봐. 여기 보면, 잔상 같은게 있지?
71505	4	오… 그러게.
71506	6	이런 잔상은, 물체가 움직이면서 생기는 거잖아.       근데 그 카메라 셔터 속도가 그 움직임을 쫓아가지 못해서       이렇게 흐릿하게 찍히는 거지.        즉, UFO는 이 사진이 찍힐 당시 빠르게 움직이고 있었고,        이런 사진은, 진짜 UFO가 아니면 찍힐 수가 없다는 거야.
71507	7	대박. 너 말 진짜 잘한다. 괜히 전교 3등이 아니었구만?
71508	7	 1등은 늘 걔가 했다니까….
71509	7	치. 야 1등은 너무 재미없어. 3등 쯤이 딱 좋아.
71510	7	그렇지?
71511	7	그래. 내가 그래서 꼴등은 아니고, 뒤에서 2등을 유지하는 거잖냐.
71512	7	 아~ 그거 너가 유지하는 거였어?
71513	4	 몰랐냐? 그거 진짜 일부러 하는건데.
71514	7	 뭐라는거야.
71515	3	나 원래 올백 맞던 애야. 반항 할라고 일부러 오답 찍는거라고.
71516	2	 왜….왜... 그런 짓을 하는데?
71517	4	그냥. 아빠가 재혼하는 거 싫어서. 그래서 반항하는 거야.        물론, 아빠한텐 1도 안 먹히지만.
71518	5	진짜?
71519	3	그래. 나같은 애가 놀아주는 거 영광인 줄 알아라.
71520	6	너 뭐해?
71521	7	 나? 포스터 만들어.
71522	5	무슨 포스터?
71523	1	우리 동아리, 홍보 포스터.
71524	5	너 동아리도 있어? 무슨 동아린데?
71525	7	 무슨 동아리겠냐.
71526	6	설마…. UFO?
71527	7	 어. 어? 야 너도 들어올래?
71528	5	 어? 그… 그거 뭐하는 건데?
71529	7	그냥, 평소에는 동아리방에서 책이나 읽고, 공부하고.       근데 방학 때, 우리 같이, 캠프 갈거거든.
71530	5	캠프?
71531	7	어. UFO 캠프.
71532	3	 거기서 뭐하는데?
71533	1	거기서 그냥…. UFO가 나왔던 곳을 가보는거야.       혹시라도 또 나타날지 모르니까.       전에는 그래서 인터넷에 제보 올라온거 보고      경남 통영까지 갔다왔다니까?
71534	5	통영까지? 근데, 부모님이 다 허락해주셔?
71535	6	글쎄. 그런 애들도 있고, 부모님이 엄하신 애들은        그냥 거짓말하고 가기도 하고.
71536	1	뭐라고 거짓말을 하는데?
71537	1	뭐…. 학원 캠프 같은걸로 둘러대는거야.
71538	1	그게 먹혀?
71539	6	아니면 그냥. 친구 집에서, 자고 온다고 하는거지, 뭐.        그럼 우리가 돌아가면서, 영상통화도 해주고.
71540	6	너네 간도 크다.
71541	6	그래서 더 재밌지. 뭐 암튼 너도 와라.        저번에, 너가 이 사진들, 합성 아닌 것 같다고 했었잖아.       그런거 보면, 너도 유사모에 들어올 자격이 있어.
71542	5	유…사모?
71543	7	유에프오를 사랑하는 모임의 약자야.
71544	6	 그게 뭐야. 진짜 촌스러워.
71545	6	이해해라. 이걸 만든 선배들이 좀 유머 감각이 없어.
71546	6	그러니까. 진짜 감각 없다.
71547	2	설마… 이름 땜에 안 들어오는 거 아니지?
71548	6	그런 거 아니야. 그럼.... 나도 한 번 해보지 뭐.
71549	7	 진짜? 진짜지?
71550	5	뭐야. 그렇게 좋아?
71551	7	야 좋지. 지금 애들이, 다들 좀 관심이 시들해서,        새로운 피가 필요했거든.        너 오면, 다른 애들도, 좀 자극 받을거야.
71552	6	자극씩이나? 난 그냥 깍두기라고 생각해줘.       워낙에 이런 건 잘 몰라서….
71553	6	그런게 어디있냐. 우리도 처음에 잘 몰랐어.
71554	4	아 배불러. 아까 먹은게 아직도 소화가 안 되네.
71555	2	너 많이 먹더라. 고기 좋아해?
71556	4	어… 평소엔 잘 못 먹으니까.
71557	5	왜 잘 못 먹어?
71558	4	그냥. 나 몸이 약해서,         엄마가 먹을 거에 완전 엄격하거든.
71559	3	어쩐지. 애가 비실비실하더라. 고기를 먹어야 힘이 나지.        그래야 키도 많이 큰댔는데?
71560	4	그러게. 이러다가 키 하나도 안 크면 어떡하나 싶긴 해.
71561	7	여기 온 김에 많이 먹고 가. 내일 아침에도 고기 먹자.
71562	6	아침에?  아침에 어떻게 고기를 먹어.
71563	0	왜 못 먹어? 아침이야말로 제일 배고프니까 고기를 먹어야지.
71564	6	으…. 나는 느끼해서 못 먹을 것 같은데?
71565	3	그럼 김치랑 같이 먹어 바보야.
71566	6	알았어. 시도는 해볼게.  근데, 여기 맞지?
71567	5	뭐? UFO 나온 데?
71568	6	어. 하늘에 아무 것도 없길래.
71569	6	그럼, 하늘만 쳐다보고, 바로 UFO가 있을 줄 알았냐?
71570	4	아니…
71571	3	그럼 그냥 닥치고 기다려. 사람이 끈기가 있어야지.
71572	0	나 끈기 많거든?
71573	3	너가 무슨 끈기가 많아. 너, 책도 한 번에 다 못 읽잖아.
71574	5	어? 너 그거 어떻게 알아?
71575	6	내가 다 봤지. 내가 너 짝꿍인데.
71576	6	그럴 수도 있지.        야, 그러는 너는 수업 시간에 핸드폰 엄청 하잖아.        그거 50분도 못 참는 주제에?
71577	6	사람이 어떻게 50분 동안 집중 하냐?        핸드폰도 좀 하고 그래야, 다시 수업에 집중을 하지.       그리고 내가 뭐 오래 하는 것도 아니고, 잠깐 잠깐 톡하는건데.
71578	3	어이구. 잘났네요. 누구랑 톡을 그렇게 하는데?
71579	7	있어.
71580	5	 뭔데. 남자야?
71581	5	어? 어 남자.
71582	2	남자…친구?
71583	6	아니 그건 아닌데. 아 모르겠다.
71584	5	뭔데. 뭘 모르는데.
71585	7	그냥 좀 썸타는 중인거 같애.
