	multimodal_emotion	text_script
0	7	 진짜로?
1	3	야, 두고 봐. 너랑 나랑 똑같이 숙제를 안 하잖아?        그럼 너한테는 별 말 안 하고, 나만 엄청 잡을걸?
2	4	그렇구나. 되게 좋은 분인 줄 알았는데.
3	7	겉만 봐서는 모르지.       근데, 그 라이벌이라는 애랑은, 친구였어?
4	4	음…. 친구... 라고 해야 되나. 
5	5	뭐야. 뭔데?
6	7	그냥… 내가 좀 좋아했었어. 걔를.         아… 내가 별 말을 다 하네.
7	7	헐 대박. 어떻게 라이벌을 좋아해?        맨날 너보다 공부도 잘했다며.        나 같으면, 더 미워했을 거 같은데.
8	6	글쎄.. 그냥 나보다 늘 잘난 친구라서.        맨날 걔만 쳐다보고 있었거든. 그래서 좋아하게 됐나봐.
9	7	오~ 로맨틱해. 그래서, 고백은 했어?
10	6	아니. 그냥 나 혼자 좋아했어. 걔는 남자친구도 있었어.
11	5	뭐야. 누구랑 사겼는데?
12	6	우리반 꼴등이랑.
13	5	대박. 그럼 1등이랑 꼴등이랑 사귄거야?
14	7	어. 웃기지.
15	7	완전 미녀와 야수도 아니고. 천재와 꼴통인가?
16	7	 그러게. 걔가 진짜 엄청 잘생겼거든.        나중에 막 소속사 계약도 하고 그랬어.
17	5	 어어. 역시, 사람은 잘생기고 봐야 되나봐.
18	4	그러게. 슬프다.
19	7	 너도 잘생겼는데?
20	2	 어? 고.. 고마워.
21	7	뭐, 나쁘지 않게 생겼단 얘기야.
22	7	그런 얘기는 처음 들어봐. 고맙다.
23	7	진짜? 야, 너 좀만 꾸미면 괜찮을 거 같은데.       이 언니가 스타일링 좀 해 줘? 말만 해.
24	5	스타일링...?
25	7	그래. 너 그 머리 스타일부터 좀 바꿔야겠다.        촌스럽게 머리가 그게 뭐냐?
26	6	 엄마가 이게 잘 어울린다고 했는데…
27	7	야, 너는 나이가 몇 갠데 엄마 말을 믿냐?        엄마가 좋아하는 스타일은, 패션의 무덤이야 무덤.
28	6	그, 그런…거야?
29	7	 여~ 좋은 아침.
30	6	 어….
31	6	뭔 일 있어? 목소리가 왜 그래?
32	6	….아니야.
33	6	아니긴. 왜 그러는데? 뭔 일 있어?
34	6	…..엄마가.
35	6	엄마가?
36	4	머리 이렇게 잘랐다고 엄청 뭐라 했어.
37	7	뭐라고?  야, 너 성공했다.
38	6	뭐?
39	7	엄마가 뭐라고 하는 머리가. 진짜 예쁜 머리인거야.        너 어른들이 제일 좋아하는 게 뭔줄 알아?
40	4	뭔데?
41	6	우리가 세상에서 제일 못생겨지는 거. 지들은 입고 싶은 거 다 입고        머리도 지멋대로 하면서, 우리는 왜 하지 말라고 하는지 진짜 모르겠어.         그렇지 않냐? 교복은 또 왜 입히는지. 불편하기만 한데.         야, 암튼 그런걸로 기죽지 마.         너는 이제, 진정한 패션의 세계에 들어온거야.
42	6	어…. 그런 거구나.
43	6	그래. 너 평생 엄마가 시키는대로 할거야?         너 그러다가 마마보이 돼. 여자들이 제일 극혐하는 남자. 마마보이!
44	2	조심해야겠네...
45	7	일단 너는 좀 반항아가 될 필요가 있어. 반에서 3등이 뭐냐. 재미없게.       이 언니를 좀 봐. 인생 잘 즐기잖아?
46	7	 그런 것 같네. 존경스럽다.
47	5	뭐 읽어?
48	7	어? 이거. UFO의 진실.
49	6	그게 뭐야?
50	0	UFO 모르냐?
51	6	알긴 아는데. UFO의 진실이 뭐라는데?
52	3	뭐긴 뭐야. UFO는 실제로 존재한대.
53	6	 그게 뭐야. 그게 진실이래?        무슨 증거로?
54	3	증거야 많지. 여기 책에 나오는 사진도 엄청 많이 나와.
55	6	그거 다 조작이야. 넌 무슨, 그런걸 믿냐?
56	6	조작 아니야. 요즘엔 동영상도 있다니까? 인터넷 치면 다 나와.        무시하지마. 너 공부 잘한다고, 나 무시하냐?
57	6	그런게 어딨어. 그냥, 난 원래 의심이 많어.
